contactID,orgID,organisation
588,1,FAO
564,1,FAO
564,1,FAO
695,1,FAO
1547,1,FAO
1556,1,FAO
1799,1,FAO
1800,1,FAO
2020,1,FAO
1556,1,FAO
2052,1,FAO
2054,1,FAO
2009,1,FAO
564,1,FAO
564,1,FAO
1794,1,FAO
1556,1,FAO
1954,1,FAO
1946,1,FAO
1981,1,FAO
1850,1,FAO
1882,1,FAO
1886,1,FAO
1552,1,FAO
1540,1,FAO
1586,1,FAO
364,1,FAO
64,1,FAO
11,1,FAO
143,1,FAO
657,1,FAO
1376,1,FAO
1193,1,FAO
748,1,FAO
760,1,FAO
818,1,FAO
956,1,FAO
904,1,FAO
1013,1,FAO
67,2,IASC Secretariat
1868,2,IASC Secretariat
1868,2,IASC Secretariat
476,2,IASC Secretariat
67,2,IASC Secretariat
1868,2,IASC Secretariat
2097,2,IASC Secretariat
2099,2,IASC Secretariat
1753,2,IASC Secretariat
5,2,IASC Secretariat
1234,2,IASC Secretariat
679,3,ICRC
492,3,ICRC
598,3,ICRC
1177,3,ICRC
1275,3,ICRC
1356,3,ICRC
1603,3,ICRC
1633,3,ICRC
1638,3,ICRC
1660,3,ICRC
1734,3,ICRC
1469,3,ICRC
1473,3,ICRC
1419,3,ICRC
1880,3,ICRC
1767,3,ICRC
2045,3,ICRC
2036,3,ICRC
2030,3,ICRC
1901,3,ICRC
1017,3,ICRC
2036,3,ICRC
2064,3,ICRC
415,3,ICRC
2029,3,ICRC
1930,3,ICRC
1961,3,ICRC
1853,3,ICRC
1857,3,ICRC
1805,3,ICRC
1806,3,ICRC
1626,3,ICRC
1677,3,ICRC
1696,3,ICRC
1595,3,ICRC
65,3,ICRC
49,3,ICRC
87,3,ICRC
505,3,ICRC
426,3,ICRC
428,3,ICRC
455,3,ICRC
647,3,ICRC
669,3,ICRC
680,3,ICRC
691,3,ICRC
678,3,ICRC
1370,3,ICRC
1345,3,ICRC
1378,3,ICRC
1301,3,ICRC
1282,3,ICRC
1286,3,ICRC
1186,3,ICRC
1196,3,ICRC
1140,3,ICRC
1068,3,ICRC
1092,3,ICRC
1116,3,ICRC
1117,3,ICRC
801,3,ICRC
768,3,ICRC
929,3,ICRC
982,3,ICRC
