agendaID,calmeetID,agorder,agitem,agsubitem,agdescription,presenterID,agpublishlevel
660,88,15,Update on Draft Guidelines for the Protection of IDPs in Natural Disasters,NULL,NULL,0,2
661,88,16,AOB,NULL,NULL,0,2
983,88,0,Summary Record and Action Points,NULL,NULL,0,3
948,28,1,International Search and Rescue Advisory Group (INSARAG),NULL,NULL,350,0
1095,28,2,Outcome of the 62nd IASC Working Group Meeting and Ad hoc Principals Meeting Sep 2005,NULL,NULL,2,0
1002,26,1,USA - Update on UN Action in Response to Hurricane Katrina,NULL,NULL,294,0
1003,26,3,Malaria in Emergencies World Malaria Report,NULL,79,0,
1004,26,2,Malaria in Emergencies,NULL,NULL,79,0
1006,26,4,EU Decisions on Civil Protection and their Consequences for the UN,NULL,NULL,295,0
637,25,0,Agenda Documents,NULL,NULL,0,2
951,25,3,Better Humanitarian Response: Reform of the Humanitarian System and Cluster Responsibilities and Accountability,NULL,NULL,12,0
952,25,4,Strengthening the Humanitarian Coordinator System,NULL,NULL,0,0
953,25,7,Implementation of the Humanitarian Reform Initiatives,NULL,NULL,12,0
960,25,2,Priorities of the European Commission in Humanitarian Work,NULL,NULL,343,0
961,25,1,Introductory Remarks by the Emergency Relief Coordinator,NULL,NULL,12,0
962,25,6,Approval of IASC 2006 Work Plan and Calendar,NULL,NULL,53,0
963,25,8,Additional Background Documents,NULL,NULL,0,3
1048,25,0,Summary Records and Action Points,NULL,NULL,0,3
634,18,1,Agenda,NULL,NULL,0,2
635,18,2,Cluster Responsibility and Accountability,NULL,NULL,0,2
636,18,2,Plans of Action on the Implementation of other Humanitarian Reform Recommendations,NULL,NULL,0,2
1144,18,0,Summary Record,NULL,NULL,0,0
629,17,0,Agenda,NULL,NULL,0,2
630,17,1,Addressing the Protection Crisis in Humanitarian Settings,NULL,NULL,0,2
631,17,1,Reform of the Humanitarian Response Systems,NULL,NULL,0,2
632,17,1,Responding to the Tsunami Disaster: Lessons from the Humanitarian Response and Speeding Up Recovery Efforts,NULL,NULL,0,2
633,17,2,Summary Record and Action Points,NULL,NULL,0,2
621,16,NULL,Darfur,NULL,NULL,0,2
622,16,0,Agenda,NULL,NULL,0,2
623,16,1,Baseline Data,NULL,NULL,0,2
624,16,1,Gender-Based Violence,NULL,NULL,0,2
625,16,1,Humanitarian Response Review,NULL,NULL,0,2
626,16,1,IASC Work Plan and Calendar 2005,NULL,NULL,0,2
627,16,1,Partnerships,NULL,NULL,0,2
628,16,1,Report of the High-Level Panel,NULL,NULL,0,2
616,14,0,Agenda,NULL,NULL,0,2
617,14,1,Access and Security,NULL,NULL,0,2
618,14,1,Future of Humanitarian Action,NULL,NULL,0,2
619,14,1,Humanitarian Coordinators and IDPs,NULL,NULL,0,2
620,14,1,IASC Progress Report 2003 and Work Plan 2004,NULL,NULL,0,2
1124,13,0,Agenda,NULL,NULL,0,0
1125,13,0,Summary Record and Action Points,NULL,NULL,0,0
1126,13,1,Discussion on the Iraq Crisis,NULL,NULL,0,0
1127,13,2,Briefing on the Work of the Joint UNDG/ECHA Working Group on Transition Issues,NULL,NULL,0,0
1128,13,3,HIV/AIDS and Southern Africa,NULL,NULL,0,0
602,12,1,Agenda,NULL,NULL,0,2
603,12,1,Follow-up Matrix,NULL,NULL,0,2
604,12,2,Consolidated Appeals Process (CAP),NULL,NULL,0,2
605,12,2,Early Warning - Early Action,NULL,NULL,0,2
606,12,2,ECOSOC Humanitarian Affairs Segment 2005,NULL,NULL,0,2
607,12,2,Gender and Humanitarian Assistance,NULL,NULL,0,2
608,12,2,Human Rights and Humanitarian Action,NULL,NULL,0,2
609,12,2,Humanitarian Response Review,NULL,NULL,0,2
610,12,2,Internally Displaced Persons,NULL,NULL,0,2
611,12,2,Mental Health and Psychosocial Support in Emergency Settings,NULL,NULL,0,2
612,12,2,Natural Disasters,NULL,NULL,0,2
613,12,2,Pooled Funds,NULL,NULL,0,2
614,12,2,Post Kobe Follow-Up,NULL,NULL,0,2
615,12,3,AOB,NULL,NULL,0,2
1205,12,0,Summary Record and Action Points,NULL,NULL,0,2
589,11,1,Agenda,NULL,NULL,0,2
590,11,1,Follow-up Matrix,NULL,NULL,0,2
591,11,2,2005 ECOSOC Humanitarian Segment,NULL,NULL,0,2
592,11,2,Civil-Military Coordination,NULL,NULL,0,2
593,11,2,Consolidated Appeals Process (CAP),NULL,NULL,0,2
594,11,2,Early Warning - Early Action,NULL,NULL,0,2
595,11,2,Humanitarian Response Review,NULL,NULL,0,2
596,11,2,IASC Task Force on Collaborative Approaches to Human Security,NULL,NULL,0,2
597,11,2,Integrated Missions Study,NULL,NULL,0,2
598,11,2,Internally Displaced Persons (IDPs),NULL,NULL,0,2
599,11,2,Natural Disasters,NULL,NULL,0,2
600,11,2,Update and Discussion on the Benn and Chirac Proposals,NULL,NULL,0,2
601,11,3,AOB,NULL,NULL,0,2
1206,11,0,Summary Record and Action Points,NULL,NULL,0,2
568,10,1,Agenda,NULL,NULL,0,2
569,10,1,Follow-up Matrix,NULL,NULL,0,2
570,10,2,2005 ECOSOC Humanitarian Affairs Segment,NULL,NULL,0,2
571,10,2,Consolidated Appeals Process (CAP),NULL,NULL,0,2
572,10,2,Contact Group on Humanitarian Financing,NULL,NULL,0,2
573,10,2,Country-specific discussion: Sudan,NULL,NULL,0,2
574,10,2,Early Warning - Early Action,NULL,NULL,0,2
575,10,2,Humanitarian Common Services,NULL,NULL,0,2
576,10,2,Humanitarian Response Review,NULL,NULL,0,2
577,10,2,IASC SWG on Emergency and Contingency Planning,NULL,NULL,0,2
578,10,2,IASC Task Force on Collaborative Approaches to Human Security,NULL,NULL,0,2
579,10,2,IASC Task Force on Gender and Humanitarian Assistance,NULL,NULL,0,2
