agendaID,calmeetID,agorder,agitem,agsubitem,agdescription,presenterID,agpublishlevel
2161,1471,17,AOB,NULL,NULL,0,0
2167,1471,18,Other Documents:,NULL,NULL,0,0
2177,1471,0,Summary Records and Revised Action Points,NULL,NULL,0,0
2100,1470,0,Agenda,NULL,NULL,0,0
2101,1470,1,Security and Logistics Information to Participants,NULL,NULL,0,0
2102,1470,2,I Welcome and Opening Statement,NULL,NULL,0,0
2107,1470,3,"II Humanitarian Action and Challenges, including Climate Change and Food Prices",NULL,NULL,0,0
2108,1470,4,III Lunch Session - Principals on IASC Membership,NULL,NULL,0,0
2109,1470,5,IV Country Specific Humanitarian Challenges: Afghanistan,NULL,NULL,0,0
2110,1470,6,V Humanitarian Space,NULL,NULL,0,0
2131,1470,0,Summary Record and Action Points,NULL,NULL,0,0
2035,1469,0,Summary Records and Revised Action Points,NULL,NULL,0,0
2036,1469,1,Logistic Information to Participants,NULL,NULL,0,0
2037,1469,2,Agenda,NULL,NULL,0,0
2045,1469,4,1.1 Cluster Evaluation,NULL,NULL,0,0
2047,1469,3,I. Follow up to the Humanitarian Reform,NULL,NULL,0,0
2050,1469,5,1.2 Cluster Evaluation äóñ Phase II,NULL,NULL,0,0
2051,1469,6,1.3 Clusters äóñäóìProvider of Last Resortäó and Roll-Out,NULL,NULL,0,0
2052,1469,7,II. Operational Policy Issues,NULL,NULL,0,0
2053,1469,8,2.1 Real Time Evaluation,NULL,NULL,0,0
2054,1469,9,"III. Preservation of Humanitarian Space, Protection and Staff Security",NULL,NULL,0,0
2055,1469,10,"3.1 Preserving Humanitarian Space, Protection and Security",NULL,NULL,0,0
2056,1469,11,3.2 Dialogue with UN Department of Peacekeeping Operations,NULL,NULL,0,0
2057,1469,12,IV. Thinking Ahead,NULL,NULL,0,0
2058,1469,13,4.1 Climate Change and its Impact on Humanitarian Action,NULL,NULL,0,0
2059,1469,14,V. Support to IASC Subsidiary Bodies and Retreat Follow-Up,NULL,NULL,0,0
2060,1469,15,5.1  IASC Working Group Retreat Follow Up,NULL,NULL,0,0
