agendaID,calmeetID,agorder,agitem,agsubitem,agdescription,presenterID,agpublishlevel
1845,1207,16,5.2  HIV/AIDS in Humanitarian Action,NULL,NULL,0,0
1846,1207,17,5.3  Planning for the IASC Working Group Retreat,NULL,NULL,0,0
1847,1207,18,VI  äóìAny Other Businessäó,NULL,NULL,0,0
1849,1207,2,Logistic Information to Participants,Logistic Information Sheet,NULL,0,0
1850,1207,4,1.1  Strengthening Humanitarian Response,(ii) The Cluster Implementation and the Link to Broader Humanitarian Financing,NULL,0,0
1851,1207,7,1.4  CERF,(i) CERF and other Pooled Funding Mechanisms,NULL,0,0
1853,1207,7,1.4  CERF,(ii) CERF äóñ Perspectives From Oxfam International and Save the Children UK,NULL,0,0
1858,1207,0,Summary Record and Action Points,NULL,NULL,0,0
1699,1206,2,Agenda:,NULL,NULL,0,0
1709,1206,23,VII. Early Warning/Early Action,NULL,NULL,0,0
1714,1206,3,I. Thematic Priority äóìSupport to the Humanitarian Reformäó,NULL,NULL,0,0
1715,1206,4,"1.1 General overview of humanitarian reform developments, with focus on the Clusters",NULL,NULL,0,0
1716,1206,5,1.2 Central Emergency Response Fund (CERF),NULL,NULL,0,0
1717,1206,6,II. Thematic Priority äóìHumanitarian Space/Protectionäó,NULL,NULL,0,0
1718,1206,7,2.1 Humanitarian Space,NULL,NULL,0,0
1719,1206,8,2.2 Security,NULL,NULL,0,0
1720,1206,9,2.3 Human Rights and Humanitarian Action,NULL,NULL,0,0
1721,1206,10,III. Thematic Priority äóìDisaster Risk Reduction and Humanitarian Actionäó,NULL,NULL,0,0
1722,1206,11,3.1 Disaster Preparedness and Risk Reduction,NULL,NULL,0,0
1723,1206,12,"3.2 Capacity Building for Emergency Response at the regional, national and local level",NULL,NULL,0,0
1724,1206,13,3.3 International Disaster Response Law Project,NULL,NULL,0,0
1725,1206,14,IV. Other Humanitarian Issues,NULL,NULL,0,0
1726,1206,15,4.1 Inter-Agency Approach to Real Time Evaluations,NULL,NULL,0,0
1727,1206,16,4.2 Benchmarks for Determining When Displacement Ends,NULL,NULL,0,0
1728,1206,17,V.  äóìIASC Work Plan for 2007äó,NULL,NULL,0,0
1729,1206,18,5.1 HIV/AIDS in Humanitarian settings,NULL,NULL,0,0
